district_encoded,district_name,state
0,Mulugu,Telangana
0,Nagarkurnool,Telangana
0,Kumuram Bheem Asifabad,Telangana
0,Rajanna Sircilla,Telangana
0,Peddapalli,Telangana
0,Adilabad,Telangana
0,Mahabubabad,Telangana
0,Jogulamba Gadwal,Telangana
1,Agar-Malwa,Madhya Pradesh
10,Alipurduar,West Bengal
100,Birbhum,West Bengal
101,Bishnupur,Manipur
102,Biswanath,Assam
103,Bokaro,Jharkhand
104,Bongaigaon,Assam
105,Botad,Gujarat
106,Boudh,Odisha
107,Budaun,Uttar Pradesh
108,Budgam,Jammu And Kashmir
109,Bulandshahr,Uttar Pradesh
11,Alirajpur,Madhya Pradesh
110,Buldhana,Maharashtra
111,Bundi,Rajasthan
112,Burhanpur,Madhya Pradesh
113,Buxar,Bihar
114,Cachar,Assam
115,Central,Delhi
116,Chamarajanagar,Karnataka
117,Chamba,Himachal Pradesh
117,Bilaspur,Himachal Pradesh
117,Hamirpur,Himachal Pradesh
118,Chamoli,Uttarakhand
119,Champawat,Uttarakhand
12,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh
12,Alluri Sitharama Raju,Andhra Pradesh
120,Champhai,Mizoram
121,Chandauli,Uttar Pradesh
122,Chandel,Manipur
123,Chandigarh,Chandigarh
124,Chandrapur,Maharashtra
125,Changlang,Arunachal Pradesh
126,Charaideo,Assam
127,Charkhi Dadri,Haryana
128,Chatra,Jharkhand
129,Chengalpattu,Tamil Nadu
13,Almora,Uttarakhand
130,Chennai,Tamil Nadu
131,Chhatarpur,Madhya Pradesh
132,Chhatrapati Sambhajinagar,Maharashtra
133,Chhindwara,Madhya Pradesh
134,Chhotaudepur,Gujarat
135,Chikkaballapura,Karnataka
136,Chikkamagaluru,Karnataka
137,Chirang,Assam
138,Chitradurga,Karnataka
139,Chitrakoot,Uttar Pradesh
14,Alwar,Rajasthan
140,Chittoor,Andhra Pradesh
141,Chittorgarh,Rajasthan
143,Churachandpur,Manipur
144,Churu,Rajasthan
145,Coimbatore,Tamil Nadu
146,Cooch Behar,West Bengal
147,Cuddalore,Tamil Nadu
148,Cuttack,Odisha
15,Ambala,Haryana
150,Dahod,Gujarat
151,Dakshin Bastar Dantewada,Chhattisgarh
152,Dakshin Dinajpur,West Bengal
153,Dakshina Kannada,Karnataka
155,Damoh,Madhya Pradesh
156,Dangs,Gujarat
157,Darbhanga,Bihar
158,Darjeeling,West Bengal
159,Darrang,Assam
16,Ambedkar Nagar,Uttar Pradesh
160,Datia,Madhya Pradesh
161,Dausa,Rajasthan
162,Davanagere,Karnataka
163,Dehradun,Uttarakhand
164,Deoghar,Jharkhand
165,Deoria,Uttar Pradesh
166,Devbhumi Dwarka,Gujarat
167,Dewas,Madhya Pradesh
168,Dhalai,Tripura
169,Dhamtari,Chhattisgarh
17,Amethi,Uttar Pradesh
170,Dhanbad,Jharkhand
171,Dhar,Madhya Pradesh
172,Dharashiv,Maharashtra
173,Dharmapuri,Tamil Nadu
174,Dharwad,Karnataka
175,Dhemaji,Assam
176,Dhenkanal,Odisha
177,Dholpur,Rajasthan
178,Dhubri,Assam
179,Dhule,Maharashtra
18,Amravati,Maharashtra
180,Dibang Valley,Arunachal Pradesh
181,Dibrugarh,Assam
182,Dima Hasao,Assam
184,Dindigul,Tamil Nadu
185,Dindori,Madhya Pradesh
187,Doda,Jammu And Kashmir
188,Dumka,Jharkhand
189,Dungarpur,Rajasthan
19,Amreli,Gujarat
190,Durg,Chhattisgarh
191,East,Delhi
192,East Garo Hills,Meghalaya
192,Eastern West Khasi Hills,Meghalaya
193,East Godavari,Andhra Pradesh
194,East Jaintia Hills,Meghalaya
195,East Kameng,Arunachal Pradesh
196,East Khasi Hills,Meghalaya
197,East Siang,Arunachal Pradesh
198,East Singhbum,Jharkhand
199,Eluru,Andhra Pradesh
2,Agra,Uttar Pradesh
20,Amritsar,Punjab
200,Ernakulam,Kerala
201,Erode,Tamil Nadu
202,Etah,Uttar Pradesh
203,Etawah,Uttar Pradesh
204,Faridabad,Haryana
205,Faridkot,Punjab
206,Farrukhabad,Uttar Pradesh
207,Fatehabad,Haryana
208,Fatehgarh Sahib,Punjab
209,Fatehpur,Uttar Pradesh
21,Amroha,Uttar Pradesh
210,Fazilka,Punjab
211,Ferozepur,Punjab
212,Firozabad,Uttar Pradesh
213,Gadag,Karnataka
214,Gadchiroli,Maharashtra
215,Gajapati,Odisha
216,Ganderbal,Jammu And Kashmir
217,Gandhinagar,Gujarat
218,Ganganagar,Rajasthan
219,Gyalshing,Sikkim
219,Gangtok,Sikkim
219,Pakyong,Sikkim
22,Anakapalli,Andhra Pradesh
220,Ganjam,Odisha
221,Garhwa,Jharkhand
222,Gariyaband,Chhattisgarh
223,Gaurela-Pendra-Marwahi,Chhattisgarh
224,Gautam Buddha Nagar,Uttar Pradesh
225,Gaya,Bihar
226,Ghaziabad,Uttar Pradesh
227,Ghazipur,Uttar Pradesh
228,Gir Somnath,Gujarat
229,Giridih,Jharkhand
23,Anand,Gujarat
230,Goalpara,Assam
231,Godda,Jharkhand
232,Golaghat,Assam
233,Gomati,Tripura
234,Gonda,Uttar Pradesh
235,Gondia,Maharashtra
236,Gopalganj,Bihar
237,Gorakhpur,Uttar Pradesh
238,Gumla,Jharkhand
239,Guna,Madhya Pradesh
24,Ananthapuramu,Andhra Pradesh
240,Guntur,Andhra Pradesh
241,Gurdaspur,Punjab
242,Gurugram,Haryana
243,Gwalior,Madhya Pradesh
244,Hailakandi,Assam
245,Hamirpur,Uttar Pradesh
246,Hanumakonda,Telangana
247,Hanumangarh,Rajasthan
248,Hapur,Uttar Pradesh
249,Harda,Madhya Pradesh
25,Anantnag,Jammu And Kashmir
250,Hardoi,Uttar Pradesh
251,Haridwar,Uttarakhand
252,Hassan,Karnataka
253,Hathras,Uttar Pradesh
254,Haveri,Karnataka
255,Hazaribagh,Jharkhand
256,Hingoli,Maharashtra
257,Hisar,Haryana
258,Hojai,Assam
259,Hooghly,West Bengal
26,Anjaw,Arunachal Pradesh
260,Hoshiarpur,Punjab
261,Howrah,West Bengal
262,Hyderabad,Telangana
263,Idukki,Kerala
264,Imphal East,Manipur
265,Imphal West,Manipur
266,Indore,Madhya Pradesh
267,Jabalpur,Madhya Pradesh
268,Jagatsinghapur,Odisha
269,Jagitial,Telangana
27,Annamayya,Andhra Pradesh
270,Jaipur,Rajasthan
271,Jaisalmer,Rajasthan
272,Jajapur,Odisha
273,Jalandhar,Punjab
274,Jalaun,Uttar Pradesh
275,Jalgaon,Maharashtra
276,Jalna,Maharashtra
277,Jalore,Rajasthan
278,Jalpaiguri,West Bengal
279,Jammu,Jammu And Kashmir
28,Anugul,Odisha
280,Jamnagar,Gujarat
281,Jamtara,Jharkhand
282,Jamui,Bihar
283,Jangoan,Telangana
284,Janjgir-Champa,Chhattisgarh
285,Jashpur,Chhattisgarh
286,Jaunpur,Uttar Pradesh
287,Jehanabad,Bihar
